"Дата","Цена","Откр.","Макс.","Мин.","Изм. %"
"30.04.2019","64,6373","64,4728","64,8585","64,3364","0,26%"
"29.04.2019","64,4728","64,7334","64,7545","64,4138","-0,40%"
"26.04.2019","64,7334","64,6565","64,8678","64,5910","0,12%"
"25.04.2019","64,6565","64,3406","64,9696","64,3225","0,49%"
"24.04.2019","64,3406","63,6853","64,4923","63,6853","1,03%"
"23.04.2019","63,6853","63,8083","63,8839","63,6600","-0,19%"
"22.04.2019","63,8083","64,0515","64,0515","63,7479","-0,38%"
"19.04.2019","64,0515","63,8939","64,0749","63,8925","0,25%"
"18.04.2019","63,8939","63,8584","64,1490","63,8453","0,06%"
"17.04.2019","63,8584","64,1045","64,1045","63,8009","-0,38%"
"16.04.2019","64,1045","64,2670","64,4387","64,0820","-0,25%"
"15.04.2019","64,2670","64,3497","64,3793","64,1838","-0,13%"
"12.04.2019","64,3497","64,6097","64,6273","64,1372","-0,40%"
"11.04.2019","64,6097","64,3223","64,7026","64,2925","0,45%"
"10.04.2019","64,3223","64,9032","64,9200","64,2182","-0,90%"
"09.04.2019","64,9032","64,8788","64,9440","64,6446","0,04%"
"08.04.2019","64,8788","65,3465","65,4474","64,8175","-0,72%"
"05.04.2019","65,3465","65,4796","65,4796","65,1690","-0,20%"
"04.04.2019","65,4796","65,2355","65,6046","65,1942","0,37%"
"03.04.2019","65,2355","65,2990","65,4300","65,0493","-0,10%"
"02.04.2019","65,2990","65,1784","65,5466","65,1725","0,19%"
"01.04.2019","65,1784","65,6340","65,7027","65,1553","-0,69%"
"29.03.2019","65,6340","64,9382","65,7408","64,6030","1,07%"
"28.03.2019","64,9382","64,8291","65,2826","64,7134","0,17%"
"27.03.2019","64,8291","64,3919","64,9777","64,3919","0,68%"
"26.03.2019","64,3919","64,0807","64,4668","64,0475","0,49%"
"25.03.2019","64,0807","64,6616","64,6616","63,9326","-0,90%"
"22.03.2019","64,6616","63,8684","64,8218","63,7138","1,24%"
"21.03.2019","63,8684","63,8577","63,9472","63,6476","0,02%"
"20.03.2019","63,8577","64,3800","64,3900","63,6733","-0,81%"
"19.03.2019","64,3800","64,3651","64,5715","64,1864","0,02%"
"18.03.2019","64,3651","64,8075","64,8150","64,1468","-0,68%"
"15.03.2019","64,8075","65,5140","65,5140","64,8038","-1,08%"
"14.03.2019","65,5140","65,3932","65,5892","65,3209","0,18%"
"13.03.2019","65,3932","65,6236","65,6249","65,3310","-0,35%"
"12.03.2019","65,6236","65,9751","65,9751","65,5500","-0,53%"
"11.03.2019","65,9751","66,2827","66,2839","65,9357","-0,46%"
"07.03.2019","66,2827","65,9751","66,3013","65,8593","0,47%"
"06.03.2019","65,9751","65,7624","66,0230","65,7615","0,32%"
"05.03.2019","65,7624","65,7387","65,8428","65,7061","0,04%"
"04.03.2019","65,7387","65,9365","65,9400","65,6453","-0,30%"
"01.03.2019","65,9365","65,9151","65,9405","65,6324","0,03%"
"28.02.2019","65,9151","65,7901","65,9372","65,6941","0,19%"
"27.02.2019","65,7901","65,6999","66,0094","65,6765","0,14%"
"26.02.2019","65,6999","65,4950","65,9303","65,4900","0,31%"
"25.02.2019","65,4950","65,3869","65,6313","65,1670","0,17%"
"22.02.2019","65,3869","65,5739","65,6532","65,3103","-0,29%"
"21.02.2019","65,5739","65,6328","65,6997","65,3759","-0,09%"
"20.02.2019","65,6328","65,7666","65,9288","65,4721","-0,20%"
"19.02.2019","65,7666","66,2745","66,3053","65,7434","-0,77%"
"18.02.2019","66,2745","66,3093","66,3477","66,0955","-0,05%"
"15.02.2019","66,3093","66,6512","66,7703","66,3000","-0,51%"
"14.02.2019","66,6512","66,5134","67,1574","66,2940","0,21%"
"13.02.2019","66,5134","65,8784","66,5180","65,6300","0,96%"
"12.02.2019","65,8784","65,8422","66,1676","65,5135","0,05%"
"11.02.2019","65,8422","65,7932","65,8977","65,5384","0,07%"
"08.02.2019","65,7932","65,9173","66,1046","65,6595","-0,19%"
"07.02.2019","65,9173","65,8698","66,1485","65,8664","0,07%"
"06.02.2019","65,8698","65,6228","65,9197","65,6183","0,38%"
"05.02.2019","65,6228","65,5888","65,6437","65,4259","0,05%"
"04.02.2019","65,5888","65,5049","65,7227","65,4977","0,13%"
"01.02.2019","65,5049","65,4103","65,7350","65,3283","0,14%"
"31.01.2019","65,4103","65,5051","65,6908","65,1714","-0,14%"
"30.01.2019","65,5051","66,0576","66,1681","65,4006","-0,84%"
"29.01.2019","66,0576","66,2640","66,4036","65,9806","-0,31%"
"28.01.2019","66,2640","65,9938","66,3480","65,8231","0,41%"
"25.01.2019","65,9938","65,7634","66,2490","65,7135","0,35%"
"24.01.2019","65,7634","66,0805","66,1021","65,6893","-0,48%"
"23.01.2019","66,0805","66,5341","66,5350","66,0363","-0,68%"
"22.01.2019","66,5341","66,3882","66,6058","66,3882","0,22%"
"21.01.2019","66,3882","66,2722","66,4720","66,2395","0,18%"
"18.01.2019","66,2722","66,3653","66,4940","66,1345","-0,14%"
"17.01.2019","66,3653","66,3720","66,6756","66,2694","-0,01%"
"16.01.2019","66,3720","66,9595","66,9795","66,2599","-0,88%"
"15.01.2019","66,9595","67,0783","67,1428","66,8900","-0,18%"
"14.01.2019","67,0783","66,8938","67,2961","66,8750","0,28%"
"11.01.2019","66,8938","66,9102","67,1493","66,8031","-0,02%"
"10.01.2019","66,9102","66,7328","67,3379","66,7328","0,27%"
"09.01.2019","66,7328","66,9003","67,2288","66,6903","-0,25%"
"08.01.2019","66,9003","67,7368","67,7508","66,7431","-1,23%"
"04.01.2019","67,7368","68,6577","68,6800","67,5281","-1,34%"
"03.01.2019","68,6577","69,8319","69,8324","68,5330","-1,68%"
"29.12.2018","69,8319","69,5012","69,9427","69,4057","0,48%"
"28.12.2018","69,5012","69,5675","69,7009","69,2498","-0,10%"
"27.12.2018","69,5675","68,6993","69,7500","68,5650","1,26%"
"26.12.2018","68,6993","68,6627","69,4638","68,6612","0,05%"
"25.12.2018","68,6627","68,5829","68,9596","68,4193","0,12%"
"24.12.2018","68,5829","68,8671","68,8671","68,2091","-0,41%"
"21.12.2018","68,8671","68,3253","69,1230","67,8681","0,79%"
"20.12.2018","68,3253","67,4674","68,6561","67,2525","1,27%"
